tx_id,timestamp,amount,currency,merchant,mcc,account_id,city,state,channel,category,subcategory,is_recurring,normalized_amount
tx_000145,2025-06-15 06:10:04.303370,478.71625786996015,USD,Uber,1988,acc_003,Boston,MA,mobile,transport,general,True,402.23752748367605
tx_000206,2025-06-15 07:40:32.303370,112.64626749031578,USD,Subway,2241,acc_003,Seattle,CA,mobile,food,general,True,82.54
tx_000478,2025-06-15 10:33:01.303370,104.57826540134869,USD,Netflix,4497,acc_003,New York,TX,online,entertainment,general,False,86.08
tx_000858,2025-06-15 11:46:42.303370,101.0467006317038,USD,Uber,5208,acc_001,New York,MA,mobile,transport,general,False,91.6
tx_000624,2025-06-15 11:52:25.303370,99.41986282313263,USD,Netflix,6435,acc_001,Boston,TX,mobile,entertainment,general,False,83.44
tx_000743,2025-06-15 12:22:18.303370,48.049296046181624,USD,Chipotle,5231,acc_002,Boston,CA,mobile,food,general,False,34.54
tx_000273,2025-06-15 12:34:12.303370,490.24,USD,Macys,5789,acc_001,Austin,WA,online,retail,general,False,490.24
tx_000157,2025-06-15 12:45:12.303370,65.30554200189637,USD,Uber,8921,acc_003,Boston,NY,mobile,transport,general,False,47.52
tx_000955,2025-06-15 14:51:30.303370,31.989445440831428,USD,Chipotle,9290,acc_001,Seattle,NY,in_store,food,general,False,26.12
tx_000950,2025-06-15 16:05:22.303370,120.53,USD,Costco,9455,acc_002,San Francisco,TX,in_store,grocery,general,False,120.53
tx_000232,2025-06-15 17:47:36.303370,107.71019920102383,USD,Dave & Busters,3568,acc_002,Boston,CA,online,entertainment,general,False,79.72
tx_000694,2025-06-15 18:08:12.303370,71.60387210682296,USD,Starbucks,5977,acc_001,Boston,MA,in_store,food,general,False,63.84
tx_000934,2025-06-15 18:29:40.303370,171.22,USD,Macys,1350,acc_003,Austin,TX,mobile,retail,general,False,171.22
tx_000083,2025-06-16 06:06:36.303370,37.47,USD,Target Grocery,5449,acc_003,Seattle,WA,mobile,grocery,general,False,37.47
tx_000343,2025-06-16 06:32:37.303370,44.19,USD,Target Grocery,7881,acc_003,Boston,NY,mobile,grocery,general,False,44.19
tx_000911,2025-06-16 09:20:12.303370,84.43,USD,BP,5853,acc_002,San Francisco,MA,online,gas,general,False,84.43
tx_000613,2025-06-16 09:24:31.303370,48.88452026834633,USD,Lyft,7374,acc_003,New York,CA,in_store,transport,general,False,35.33
tx_000706,2025-06-16 13:44:51.303370,198.31,USD,Target Grocery,2644,acc_001,Austin,CA,in_store,grocery,general,True,198.31
tx_000813,2025-06-16 16:27:03.303370,582.4633433008428,USD,Dave & Busters,1116,acc_001,Boston,TX,mobile,entertainment,general,False,503.85803529415665
tx_000234,2025-06-16 17:00:07.303370,17.870141166630326,USD,McDonalds,8369,acc_003,New York,NY,mobile,food,general,False,14.01
tx_000486,2025-06-16 20:21:35.303370,275.97,USD,Best Buy,7811,acc_003,New York,MA,online,retail,general,False,275.97
tx_000128,2025-06-17 06:25:23.303370,28.46,USD,Trader Joes,3700,acc_003,San Francisco,NY,in_store,grocery,general,False,28.46
tx_000855,2025-06-17 09:55:21.303370,157.98,USD,Target Grocery,6622,acc_001,Austin,CA,mobile,grocery,general,False,157.98
tx_000639,2025-06-17 10:45:17.303370,185.15,USD,Verizon,7233,acc_003,San Francisco,TX,mobile,utilities,general,False,185.15
tx_000300,2025-06-17 10:55:11.303370,112.16,USD,PG&E,9217,acc_001,Seattle,MA,online,utilities,general,True,112.16
tx_000150,2025-06-17 12:08:31.303370,125.62209481066901,USD,Spotify,1036,acc_003,Austin,NY,online,entertainment,general,False,92.34
tx_000517,2025-06-17 13:07:30.303370,75.830161012859,USD,Spotify,4599,acc_002,Boston,MA,in_store,entertainment,general,False,68.76
tx_000711,2025-06-17 13:15:04.303370,38.14387704610361,USD,Dave & Busters,1291,acc_002,Boston,NY,mobile,entertainment,general,False,29.2
tx_000553,2025-06-17 13:19:17.303370,62.97,USD,Whole Foods,9474,acc_003,Austin,NY,in_store,grocery,general,False,62.97
tx_000071,2025-06-17 13:41:58.303370,85.0,USD,Safeway,9624,acc_003,Austin,NY,in_store,grocery,general,True,85.0
tx_000243,2025-06-17 13:45:28.303370,88.96,USD,Exxon,3334,acc_003,Boston,CA,in_store,gas,general,False,88.96
tx_000199,2025-06-17 14:05:26.303370,56.44,USD,Comcast,7781,acc_002,Seattle,WA,mobile,utilities,general,False,56.44
tx_000305,2025-06-17 14:52:48.303370,318.04,USD,Chevron,4864,acc_001,Austin,CA,in_store,gas,general,False,318.0355947990976
tx_000560,2025-06-17 16:34:37.303370,133.86,USD,Trader Joes,1739,acc_003,New York,CA,online,grocery,general,False,133.86
tx_000998,2025-06-17 16:50:12.303370,50.04897813460595,USD,Uber,8886,acc_001,Seattle,NY,online,transport,general,False,45.01
tx_000254,2025-06-17 19:25:20.303370,179.76,USD,Target,7358,acc_002,Austin,MA,in_store,retail,general,False,179.76082499484536
tx_000758,2025-06-17 21:18:35.303370,179.85115216224435,USD,McDonalds,9579,acc_003,Boston,CA,online,food,general,False,137.1150566911404
tx_000890,2025-06-18 09:30:00.303370,94.23,USD,Target Grocery,5797,acc_001,Seattle,WA,in_store,grocery,general,False,94.23
tx_000774,2025-06-18 10:01:48.303370,79.57438259623903,USD,Pizza Hut,5561,acc_001,San Francisco,MA,mobile,food,general,False,60.71
tx_000498,2025-06-18 10:18:18.303370,107.47886794362215,USD,AMC Theaters,2909,acc_002,Austin,TX,mobile,entertainment,general,False,92.66
tx_000114,2025-06-18 10:48:29.303370,239.2,USD,Walmart,2298,acc_001,New York,TX,online,retail,general,False,239.2
tx_000282,2025-06-18 13:35:29.303370,50.56,USD,Target Grocery,2573,acc_002,Austin,WA,online,grocery,general,False,50.56
tx_000590,2025-06-18 13:53:43.303370,137.86,USD,Whole Foods,8837,acc_001,Boston,MA,mobile,grocery,general,False,137.86
tx_000898,2025-06-18 14:46:24.303370,75.36694662569253,USD,BART,4005,acc_003,Boston,TX,in_store,transport,general,False,59.38
tx_000248,2025-06-18 15:50:52.303370,48.17463668960765,USD,Chipotle,9686,acc_001,Austin,TX,in_store,food,general,False,43.19
tx_000692,2025-06-18 17:33:54.303370,81.88,USD,Target Grocery,6134,acc_002,San Francisco,CA,in_store,grocery,general,False,81.88
tx_000649,2025-06-18 17:54:00.303370,66.7,USD,Chevron,8475,acc_003,San Francisco,NY,mobile,gas,general,False,66.7
tx_000682,2025-06-18 18:02:53.303370,67.1338048010596,USD,Starbucks,5532,acc_002,Boston,NY,mobile,food,general,True,49.96
tx_000235,2025-06-19 07:19:57.303370,71.68616626015502,USD,Lyft,4222,acc_003,Boston,WA,mobile,transport,general,False,59.17
tx_000072,2025-06-19 09:23:46.303370,24.365304454884846,USD,Parking Meter,6466,acc_001,Seattle,WA,online,transport,general,False,19.09
tx_000353,2025-06-19 09:54:40.303370,73.31,USD,Chevron,5515,acc_002,San Francisco,MA,online,gas,general,False,73.31
tx_000940,2025-06-19 10:09:55.303370,21.376368444452375,USD,Local Cafe,3102,acc_003,Boston,NY,in_store,food,general,True,19.12
tx_000046,2025-06-19 11:44:56.303370,14.866527341341476,USD,Uber,7772,acc_003,Boston,WA,mobile,transport,general,False,11.95
tx_000651,2025-06-19 12:18:29.303370,126.57,USD,Verizon,5484,acc_002,San Francisco,MA,in_store,utilities,general,False,126.57
tx_000302,2025-06-19 12:30:17.303370,28.06,USD,Safeway,6776,acc_002,San Francisco,CA,mobile,grocery,general,False,28.06
tx_000744,2025-06-19 14:13:07.303370,116.45,USD,Verizon,3392,acc_001,San Francisco,WA,in_store,utilities,general,False,116.45
tx_000507,2025-06-19 16:26:17.303370,117.22,USD,Costco,5213,acc_003,San Francisco,NY,in_store,grocery,general,False,117.22
tx_000178,2025-06-19 23:23:45.303370,182.23,USD,Water Company,7978,acc_002,Austin,NY,in_store,utilities,general,False,182.23
tx_000697,2025-06-19 23:26:26.303370,84.95,USD,Chevron,8587,acc_001,San Francisco,TX,mobile,gas,general,False,84.95
tx_000379,2025-06-20 06:24:56.303370,47.96,USD,Water Company,4926,acc_003,Boston,CA,online,utilities,general,True,47.96
tx_000281,2025-06-20 09:08:32.303370,152.83,USD,Macys,4246,acc_001,Seattle,NY,in_store,retail,general,False,152.83
tx_000221,2025-06-20 09:56:14.303370,157.01,USD,Best Buy,8518,acc_003,New York,TX,mobile,retail,general,False,157.01
tx_000210,2025-06-20 10:03:27.303370,36.283025203830746,USD,Netflix,9212,acc_001,Austin,TX,in_store,entertainment,general,False,32.22
tx_000510,2025-06-20 10:06:35.303370,32.67,USD,Macys,9296,acc_002,San Francisco,NY,in_store,retail,general,False,32.67
tx_000340,2025-06-20 11:29:28.303370,137.47,USD,Safeway,8082,acc_002,New York,MA,online,grocery,general,False,137.47
tx_000853,2025-06-20 12:56:47.303370,24.662316137358896,USD,Starbucks,7924,acc_002,Boston,NY,in_store,food,general,False,21.72
tx_000667,2025-06-20 13:55:38.303370,80.19,USD,Chevron,6113,acc_001,San Francisco,NY,in_store,gas,general,False,80.19
tx_000666,2025-06-20 17:29:29.303370,161.42,USD,Water Company,4093,acc_002,Austin,CA,in_store,utilities,general,False,161.42
tx_000399,2025-06-20 17:46:25.303370,105.18,USD,Costco,6833,acc_002,Boston,TX,in_store,grocery,general,False,105.18
tx_000620,2025-06-20 18:47:29.303370,135.6393387258682,USD,Netflix,2895,acc_002,Boston,MA,mobile,entertainment,general,False,110.0
tx_000927,2025-06-20 18:57:31.303370,79.94,USD,Trader Joes,8656,acc_003,Boston,TX,mobile,grocery,general,False,79.94
tx_000508,2025-06-20 21:01:17.303370,144.14,USD,Water Company,6609,acc_001,San Francisco,MA,online,utilities,general,False,144.14
tx_000672,2025-06-21 06:46:30.303370,134.53,USD,Macys,7074,acc_001,Austin,TX,mobile,retail,general,False,134.53
tx_000741,2025-06-21 08:04:13.303370,91.71,USD,Safeway,7623,acc_003,Seattle,WA,mobile,grocery,general,False,91.71
tx_000641,2025-06-21 08:20:52.303370,66.87,USD,BP,8015,acc_002,Boston,MA,mobile,gas,general,False,66.87
tx_000652,2025-06-21 09:26:08.303370,21.31,USD,Verizon,1905,acc_003,Austin,WA,mobile,utilities,general,False,21.31
tx_000503,2025-06-21 10:54:14.303370,36.72,USD,Water Company,6533,acc_001,Boston,TX,online,utilities,general,False,36.72
tx_000455,2025-06-21 12:29:00.303370,363.9503313293479,USD,Netflix,4189,acc_001,San Francisco,WA,online,entertainment,general,False,285.44
tx_000912,2025-06-21 12:50:39.303370,30.93977947487762,USD,Subway,4942,acc_001,New York,WA,online,food,general,False,24.68
tx_000112,2025-06-21 13:48:21.303370,28.85,USD,Shell,1423,acc_001,Seattle,NY,online,gas,general,False,28.85
tx_000425,2025-06-21 14:02:00.303370,31.532801809583482,USD,Chipotle,8086,acc_001,San Francisco,MA,in_store,food,general,False,24.94
tx_000568,2025-06-21 14:17:42.303370,30.0,USD,Exxon,7187,acc_002,Seattle,WA,in_store,gas,general,False,30.0
tx_000074,2025-06-21 14:25:39.303370,117.82,USD,Target Grocery,1450,acc_003,Boston,MA,mobile,grocery,general,False,117.82
tx_000674,2025-06-21 14:33:53.303370,46.61,USD,Exxon,8301,acc_002,New York,WA,online,gas,general,False,46.61
tx_000623,2025-06-21 15:12:31.303370,206.39,USD,Trader Joes,1545,acc_002,Seattle,TX,in_store,grocery,general,True,206.39
tx_000521,2025-06-21 15:24:55.303370,264.81879091628895,USD,Netflix,8920,acc_003,Austin,CA,in_store,entertainment,general,False,202.32
tx_000092,2025-06-21 15:36:45.303370,97.92208428551743,USD,BART,2991,acc_001,Seattle,WA,online,transport,general,False,78.18
tx_000799,2025-06-21 18:11:37.303370,54.94082928920752,USD,Chipotle,8059,acc_001,Boston,NY,in_store,food,general,True,40.81
tx_000871,2025-06-21 18:39:54.303370,120.98,USD,Amazon,8970,acc_003,Austin,WA,in_store,retail,general,False,120.98
tx_000922,2025-06-21 18:41:47.303370,88.20120779162262,USD,Parking Meter,9836,acc_002,Seattle,CA,in_store,transport,general,True,73.3
tx_000294,2025-06-22 06:25:18.303370,76.2921798020726,USD,Subway,4501,acc_003,San Francisco,WA,in_store,food,general,False,61.79
tx_000896,2025-06-22 07:10:41.303370,343.06,USD,Safeway,4448,acc_001,Austin,CA,in_store,grocery,general,False,343.06493478455303
tx_000708,2025-06-22 12:31:07.303370,68.41,USD,Water Company,9871,acc_003,Boston,NY,in_store,utilities,general,False,68.41
tx_000331,2025-06-22 13:05:46.303370,42.82,USD,Water Company,7809,acc_001,New York,TX,in_store,utilities,general,False,42.82
tx_000403,2025-06-22 14:23:36.303370,202.34,USD,Trader Joes,2426,acc_001,San Francisco,WA,in_store,grocery,general,False,202.34
tx_000883,2025-06-22 14:55:36.303370,123.64,USD,Costco,7620,acc_002,Austin,CA,in_store,grocery,general,False,123.63690956453026
tx_000045,2025-06-22 15:50:24.303370,83.75257642108983,USD,BART,6352,acc_001,Seattle,WA,online,transport,general,False,61.71
tx_000990,2025-06-22 16:22:02.303370,206.35,USD,Safeway,7387,acc_002,Austin,WA,mobile,grocery,general,False,206.35
tx_000117,2025-06-22 17:54:33.303370,58.25064659719744,USD,AMC Theaters,4962,acc_002,New York,NY,in_store,entertainment,general,False,47.65
tx_000457,2025-06-23 10:29:11.303370,131.08,USD,Chevron,9952,acc_003,San Francisco,NY,online,gas,general,False,131.0833954420673
tx_000632,2025-06-23 11:40:07.303370,55.45988675545649,USD,McDonalds,6842,acc_002,New York,CA,mobile,food,general,False,44.61
tx_000222,2025-06-23 11:52:35.303370,46.87915835409571,USD,McDonalds,9532,acc_002,Austin,NY,online,food,general,False,35.88
tx_000867,2025-06-23 13:44:42.303370,95.38,USD,Target Grocery,6178,acc_003,Austin,CA,online,grocery,general,False,95.38
tx_000306,2025-06-23 14:41:26.303370,26.563972008160853,USD,Subway,3127,acc_003,Boston,NY,in_store,food,general,False,23.98
tx_000534,2025-06-23 14:58:12.303370,254.16,USD,Best Buy,3194,acc_003,New York,CA,mobile,retail,general,True,254.16
tx_000376,2025-06-23 15:17:13.303370,57.96,USD,Target,1389,acc_001,New York,CA,in_store,retail,general,False,57.96
tx_000019,2025-06-23 15:23:12.303370,49.39,USD,Costco,7967,acc_002,Seattle,CA,online,grocery,general,True,49.39
tx_000345,2025-06-23 16:17:41.303370,28.327704212677936,USD,BART,6412,acc_001,New York,WA,online,transport,general,False,20.79
tx_000512,2025-06-23 16:23:41.303370,82.88,USD,Comcast,9401,acc_002,New York,WA,mobile,utilities,general,False,82.88
tx_000260,2025-06-23 16:35:37.303370,34.65,USD,Target Grocery,3795,acc_001,Austin,MA,in_store,grocery,general,False,34.65
tx_000025,2025-06-23 17:35:18.303370,116.51,USD,Costco,8014,acc_001,Boston,CA,in_store,grocery,general,False,116.51
tx_000040,2025-06-23 18:23:13.303370,16.01557721176627,USD,Starbucks,9593,acc_002,Seattle,MA,in_store,food,general,False,13.27
